Number,Phenotype,Description,Group,Type,P_value,Beta_or_logOR,N,Direction
1,WEIGHT,Weight,ANTHROPOMETRIC,Quantitative,1.529e-35,-0.0194,1091260,-
2,BMI,Body mass index (BMI),ANTHROPOMETRIC,Quantitative,6.852e-25,-0.0152,4820740,-
3,MetS_cont,"Metabolic syndrome derived from gSEM latent factor, continuous as only n_eff is provided",OTHER,Quantitative,2.562e-14,-0.0113,1384350,-
4,Obesity,Obesity,ANTHROPOMETRIC,Binary,1.838e-08,-0.0235,581702,-
5,HDL,HDL cholesterol,LIPIDS,Quantitative,1.477e-06,0.0051,3344240,+
6,T2D,Type 2 diabetes (T2D),GLYCEMIC,Binary,1.782e-06,-0.0173,3860600,-
7,BMIadjSMK,BMI adj smoking status,ANTHROPOMETRIC,Quantitative,6.683e-06,-0.0205,327532,-
8,SleepApnea,Sleep apnea syndrome,SLEEP AND CIRCADIAN,Binary,9.376e-06,-0.0192,403006,-
9,ALT,Alanine transaminase (ALT),HEPATIC,Quantitative,2.054e-05,-0.0014,2123440,-
10,SleepNaps,Daytime napping,SLEEP AND CIRCADIAN,Quantitative,0.00016,-0.0054,452633,-
11,HYPERTENSION,Hypertension,CARDIOVASCULAR,Binary,0.0002879,-0.013,1041290,-
12,BUN,Blood urea nitrogen,RENAL,Quantitative,0.0003972,-0.0015,1199600,-
13,GCC,GCC retinal layer thickness,OCULAR,Quantitative,0.001136,0.029,38485,+
14,PC1diet,PC1 dietary pattern,NUTRITIONAL,Quantitative,0.0012,-0.0079,449210,-
15,GCL,GCL retinal layer thickness,OCULAR,Quantitative,0.00121,0.0278,38485,+
16,freshfruit,Fresh fruit consumption,NUTRITIONAL,Quantitative,0.0016,-0.0077,447401,-
17,HF,Heart failure,CARDIOVASCULAR,Binary,0.001654,-0.0175,1103570,-
18,HIPC,Hip circumference,ANTHROPOMETRIC,Quantitative,0.001683,-0.0162,391031,-
19,BFP,Body fat percentage,ANTHROPOMETRIC,Quantitative,0.002002,0.0125,331402,+
20,SBP,Systolic blood pressure,CARDIOVASCULAR,Quantitative,0.002058,-0.0037,3718260,-
21,BIGTT-AIR,BIGTT acute insulin response,GLYCEMIC,Quantitative,0.004724,-0.0299,25559,-
22,HEIGHT,Height,ANTHROPOMETRIC,Quantitative,0.004817,-0.0028,2336190,-
23,BS,Random glucose,GLYCEMIC,Quantitative,0.005058,-0.0034,2444110,-
24,AM_broad_heavy,Broad vs. Heavy alcohol consumption,NUTRITIONAL,Binary,0.00534,-0.0223,180056,-
25,CRP,Plasma C-reactive protein,CARDIOVASCULAR,Quantitative,0.005777,-0.0047,1387120,-
26,T2DwNM,Type 2 diabetes with neurological manifestations,GLYCEMIC,Binary,0.006177,-0.022739487,288946,-
27,ObstructiveApnea,Obstructive sleep apnea (PheCode 327.32),SLEEP AND CIRCADIAN,Binary,0.006926,-0.015873348,516842,-
28,PulsePress,Pulse pressure,CARDIOVASCULAR,Quantitative,0.00728,-0.0043,2144080,-
